flair	hour	day	month	year	title	num_comments	score	award_count
Career	8	1	9	2022	1	46	69	0
Career	8	5	3	2023	1	62	135	0
Career	8	8	11	2022	1	79	109	0
Career	8	15	10	2022	1	78	77	0
Career	8	19	5	2023	1	19	95	0
Career	8	24	9	2023	1	17	145	0
Career	8	25	4	2022	1	91	83	0
Career	9	10	5	2023	1	100	149	0
Career	9	23	8	2023	1	74	80	0
Career	9	30	4	2023	1	43	73	0
Career	10	2	5	2022	1	84	70	0
Career	10	4	11	2022	1	25	115	0
Career	10	12	4	2022	1	98	82	0
Career	10	16	1	2022	1	46	291	0
Career	10	23	4	2023	1	81	102	0
Career	10	27	9	2023	1	34	88	0
Career	10	27	11	2021	1	21	79	0
Career	10	29	4	2022	1	19	160	0
Career	11	10	1	2024	1	74	100	0
Career	11	15	10	2021	1	65	107	0
Career	11	21	11	2022	1	27	75	0
Career	11	25	10	2022	1	88	192	0
Career	11	29	8	2021	1	44	68	0
Career	12	7	10	2021	1	67	113	0
Career	12	19	5	2023	1	103	121	0
Career	12	23	9	2021	1	54	66	0
Career	12	26	10	2022	1	98	77	0
Career	13	6	10	2022	1	64	133	0
Career	13	8	9	2022	1	53	90	0
Career	13	11	5	2023	1	128	143	0
Career	13	12	11	2021	1	49	95	0
Career	13	17	9	2023	1	43	69	0
Career	13	18	7	2022	1	93	100	0
Career	13	18	7	2023	1	19	110	0
Career	13	23	8	2022	1	76	256	0
Career	13	29	12	2021	1	122	378	0
Career	14	5	8	2021	1	55	607	0
Career	14	7	11	2023	1	99	86	0
Career	14	13	6	2022	1	30	198	0
Career	14	18	8	2023	1	53	98	0
Career	14	20	2	2024	1	45	73	0
Career	14	20	6	2021	1	33	69	0
Career	14	26	6	2022	1	51	75	0
Career	14	29	4	2022	1	23	78	0
Career	15	3	5	2022	1	131	166	0
Career	15	6	1	2023	1	88	343	0
Career	15	10	9	2021	1	89	155	0
Career	15	19	12	2023	1	57	80	0
Career	15	22	4	2023	1	98	226	0
Career	15	28	4	2022	1	4	71	0
Career	15	29	12	2022	2	67	169	0
Career	16	1	6	2021	1	161	122	0
Career	16	1	6	2023	1	231	87	0
Career	16	1	9	2021	1	158	83	0
Career	16	1	9	2022	1	144	84	0
Career	16	1	9	2023	1	252	108	0
Career	16	6	11	2022	1	108	198	0
Career	16	9	9	2023	1	98	75	0
Career	16	9	11	2022	1	102	159	0
Career	16	10	11	2022	1	61	138	0
Career	16	14	9	2022	1	113	190	0
Career	16	17	6	2021	1	46	609	0
Career	16	24	8	2023	1	50	123	0
Career	17	1	3	2022	1	177	72	0
Career	17	1	3	2024	1	88	84	0
Career	17	1	12	2023	1	175	79	0
Career	17	2	11	2022	1	105	155	0
Career	17	7	7	2023	1	59	69	0
Career	17	10	8	2023	1	50	143	0
Career	17	14	9	2021	1	47	94	0
Career	17	19	3	2022	1	53	71	0
Career	17	25	6	2023	1	22	82	0
Career	17	28	2	2023	1	100	157	0
Career	18	6	1	2024	1	41	93	0
Career	18	8	5	2023	1	37	69	0
Career	18	9	9	2021	1	37	78	0
Career	18	11	8	2022	1	67	124	0
Career	18	14	6	2023	1	16	95	0
Career	18	26	1	2023	1	12	80	0
Career	18	28	2	2022	1	42	224	0
Career	18	28	10	2022	1	100	198	0
Career	18	31	12	2023	1	116	80	0
Career	19	7	9	2023	1	107	88	0
Career	19	9	4	2022	1	146	91	0
Career	19	11	10	2021	1	41	152	0
Career	19	16	6	2023	1	150	77	0
Career	19	17	11	2021	1	36	173	0
Career	19	18	1	2023	1	84	286	0
Career	19	19	3	2023	1	28	88	0
Career	19	19	6	2022	1	92	72	0
Career	19	20	1	2023	1	93	177	0
Career	19	29	4	2022	1	33	123	0
Career	20	9	2	2022	1	62	82	0
Career	20	9	10	2022	1	53	223	0
Career	20	13	12	2021	1	18	151	0
Career	20	16	1	2023	1	92	93	0
Career	20	19	7	2022	1	5	72	0
Career	20	21	9	2022	1	43	79	0
Career	20	24	5	2021	1	38	143	0
Career	20	25	10	2022	1	37	89	0
Career	20	27	9	2021	1	71	87	0
Career	21	2	5	2021	1	139	82	0
Career	21	10	6	2022	1	56	260	0
Career	21	17	10	2022	1	11	88	0
Career	21	19	1	2024	1	17	80	0
Career	21	30	5	2021	1	34	95	0
Career	22	9	5	2023	1	88	95	0
Career	22	17	12	2023	1	36	74	0
Career	22	26	12	2023	1	65	91	0
Career	22	29	3	2022	1	114	79	0
Career	23	5	6	2023	1	58	187	0
Career	23	5	9	2023	1	96	76	0
Career	23	10	12	2023	1	180	536	0
Career	23	12	8	2021	1	66	181	0
Career	23	13	5	2021	1	32	79	0
Career	23	28	6	2021	1	57	161	0
Discussion	0	3	11	2023	1	46	233	0
Discussion	0	6	2	2024	1	111	121	0
Discussion	0	6	7	2023	1	132	195	0
Discussion	0	7	9	2023	1	50	73	0
Discussion	0	8	1	2022	1	49	90	0
Discussion	0	9	11	2022	1	38	94	0
Discussion	0	11	10	2023	1	288	124	0
Discussion	0	14	5	2022	1	35	91	0
Discussion	0	15	2	2023	1	14	111	0
Discussion	0	16	5	2023	1	110	127	0
Discussion	0	19	2	2022	1	111	90	0
Discussion	0	25	8	2023	1	66	69	0
Discussion	0	25	10	2021	1	23	89	0
Discussion	0	25	10	2022	1	51	69	0
Discussion	0	26	2	2023	1	20	96	0
Discussion	0	26	2	2024	1	117	101	0
Discussion	0	28	9	2023	1	47	87	0
Discussion	0	31	8	2022	1	34	79	0
Discussion	1	4	1	2023	1	19	80	0
Discussion	1	5	5	2022	1	80	97	0
Discussion	1	7	4	2022	1	34	77	0
Discussion	1	8	11	2023	1	90	75	0
Discussion	1	9	7	2023	1	56	77	0
Discussion	1	10	2	2023	1	40	197	0
Discussion	1	17	1	2024	1	108	514	0
Discussion	1	17	5	2021	1	34	70	0
Discussion	1	17	5	2022	1	49	95	0
Discussion	1	17	7	2023	1	46	75	0
Discussion	1	23	7	2023	1	103	92	0
Discussion	1	28	3	2022	1	31	74	0
Discussion	2	3	5	2022	1	52	295	0
Discussion	2	3	8	2022	1	41	70	0
Discussion	2	8	7	2023	1	31	73	0
Discussion	2	10	8	2022	1	64	229	0
Discussion	2	12	3	2023	1	140	118	0
Discussion	2	13	10	2022	1	12	210	0
Discussion	2	15	1	2022	1	39	78	0
Discussion	2	15	2	2022	1	14	88	0
Discussion	2	17	6	2022	1	132	134	0
Discussion	2	21	3	2023	1	162	140	0
Discussion	2	23	7	2021	1	19	104	0
Discussion	3	1	4	2023	1	60	81	0
Discussion	3	3	5	2023	1	63	69	0
Discussion	3	5	6	2022	1	91	71	0
Discussion	3	6	2	2022	1	134	119	0
Discussion	3	29	3	2023	1	13	71	0
Discussion	3	29	6	2023	1	223	84	0
Discussion	3	29	11	2023	1	46	68	0
Discussion	4	5	11	2022	1	13	169	0
Discussion	4	7	6	2023	1	61	166	0
Discussion	4	20	10	2022	1	141	161	0
Discussion	4	25	8	2022	1	30	71	0
Discussion	4	26	11	2023	1	53	112	0
Discussion	4	26	12	2022	1	69	146	0
Discussion	5	1	12	2023	1	177	137	0
Discussion	5	2	1	2023	1	123	98	0
Discussion	5	6	4	2023	1	86	173	0
Discussion	5	14	9	2023	1	25	125	0
Discussion	5	22	9	2023	1	125	96	0
Discussion	5	29	5	2023	1	104	270	0
Discussion	6	2	6	2023	1	73	119	0
Discussion	6	3	9	2023	1	127	106	0
Discussion	6	7	7	2023	1	88	79	0
Discussion	6	8	8	2023	1	129	152	0
Discussion	6	11	1	2022	1	51	69	0
Discussion	6	11	2	2024	1	132	147	0
Discussion	6	15	6	2023	1	23	341	0
Discussion	6	20	5	2023	1	30	70	0
Discussion	6	21	9	2023	1	74	141	0
Discussion	6	28	2	2022	1	77	67	0
Discussion	7	3	2	2023	1	50	89	0
Discussion	7	3	4	2023	1	75	70	0
Discussion	7	4	5	2023	1	46	66	0
Discussion	7	8	11	2023	1	115	106	0
Discussion	7	12	7	2023	1	31	130	0
Discussion	7	16	4	2023	1	38	68	0
Discussion	7	16	10	2023	1	62	76	0
Discussion	7	19	4	2022	1	137	83	0
Discussion	7	20	12	2021	1	30	85	0
Discussion	7	21	2	2023	1	56	74	0
Discussion	8	2	9	2023	1	54	124	0
Discussion	8	4	7	2021	1	18	104	0
Discussion	8	6	9	2023	1	27	66	0
Discussion	8	7	3	2023	1	68	244	0
Discussion	8	7	5	2023	1	72	84	0
Discussion	8	9	4	2023	1	31	95	0
Discussion	8	11	10	2023	1	36	85	0
Discussion	8	16	10	2022	1	22	71	0
Discussion	8	18	3	2023	1	28	104	0
Discussion	8	20	4	2022	1	70	88	0
Discussion	8	21	7	2021	1	84	143	0
Discussion	8	23	2	2023	1	95	91	0
Discussion	8	23	10	2022	1	44	110	0
Discussion	8	23	11	2022	1	34	70	0
Discussion	8	26	11	2022	1	61	131	0
Discussion	8	29	10	2023	1	55	191	0
Discussion	8	29	11	2022	1	18	121	0
Discussion	9	2	3	2023	1	69	139	0
Discussion	9	4	8	2023	1	94	69	0
Discussion	9	7	10	2022	1	63	92	0
Discussion	9	8	1	2023	1	66	70	0
Discussion	9	8	10	2023	1	56	120	0
Discussion	9	11	12	2021	1	18	175	0
Discussion	9	13	5	2023	1	53	160	0
Discussion	9	13	12	2021	1	3	70	0
Discussion	9	21	3	2023	1	118	130	0
Discussion	9	25	5	2021	1	6	67	0
Discussion	9	28	7	2023	1	105	105	0
Discussion	10	1	3	2023	1	50	98	0
Discussion	10	2	11	2023	1	48	97	0
Discussion	10	3	1	2022	1	89	141	0
Discussion	10	4	12	2022	1	47	96	0
Discussion	10	5	7	2022	1	17	99	0
Discussion	10	10	5	2021	1	63	84	0
Discussion	10	10	6	2022	1	76	77	0
Discussion	10	12	12	2021	1	19	112	0
Discussion	10	16	3	2023	1	70	78	0
Discussion	10	17	7	2023	1	219	569	0
Discussion	10	18	11	2022	1	40	381	0
Discussion	10	19	10	2022	1	58	143	0
Discussion	10	21	3	2023	1	146	131	0
Discussion	10	22	6	2021	1	82	71	0
Discussion	10	25	2	2023	1	44	75	0
Discussion	10	25	2	2024	1	21	75	0
Discussion	10	26	1	2024	1	112	66	0
Discussion	10	29	1	2024	1	116	112	0
Discussion	11	11	6	2023	1	196	178	0
Discussion	11	12	7	2021	1	29	82	0
Discussion	11	13	3	2023	1	68	94	0
Discussion	11	17	5	2022	1	63	83	0
Discussion	11	17	12	2022	1	75	83	0
Discussion	11	19	3	2023	1	67	66	0
Discussion	11	20	10	2021	1	14	103	0
Discussion	11	20	11	2022	1	23	137	0
Discussion	11	22	2	2024	1	102	66	0
Discussion	11	22	4	2023	1	81	119	0
Discussion	11	23	2	2024	1	111	106	0
Discussion	11	27	2	2022	1	109	121	0
Discussion	12	2	5	2023	1	101	84	0
Discussion	12	4	5	2023	1	60	107	0
Discussion	12	4	10	2023	1	106	167	0
Discussion	12	5	8	2023	1	26	133	0
Discussion	12	6	11	2023	1	158	157	0
Discussion	12	7	10	2023	1	90	78	0
Discussion	12	8	3	2023	1	88	189	0
Discussion	12	9	6	2023	1	48	104	0
Discussion	12	9	9	2021	1	45	80	0
Discussion	12	10	8	2023	1	70	73	0
Discussion	12	16	11	2022	1	38	68	0
Discussion	12	17	10	2023	1	19	69	0
Discussion	12	18	4	2023	1	55	108	0
Discussion	12	18	9	2023	1	27	77	0
Discussion	12	21	1	2024	1	132	183	0
Discussion	12	23	9	2022	1	59	84	0
Discussion	12	25	5	2023	1	57	75	0
Discussion	12	26	3	2022	1	50	72	0
Discussion	12	27	1	2024	1	40	79	0
Discussion	12	28	12	2022	1	46	78	0
Discussion	12	29	7	2021	1	25	387	0
Discussion	12	29	8	2023	1	37	68	0
Discussion	12	31	8	2023	1	61	162	0
Discussion	13	2	12	2022	1	87	131	0
Discussion	13	3	1	2024	1	66	254	0
Discussion	13	3	2	2022	1	32	145	0
Discussion	13	4	9	2022	1	13	67	0
Discussion	13	4	9	2023	1	61	67	0
Discussion	13	4	12	2021	1	83	137	0
Discussion	13	4	12	2023	1	376	331	0
Discussion	13	5	5	2023	1	72	92	0
Discussion	13	7	2	2024	1	126	146	0
Discussion	13	8	6	2022	1	43	136	0
Discussion	13	8	11	2023	1	31	95	0
Discussion	13	9	5	2023	1	52	139	0
Discussion	13	10	4	2023	1	72	111	0
Discussion	13	12	8	2023	1	111	68	0
Discussion	13	13	12	2023	1	68	93	0
Discussion	13	14	5	2021	1	19	136	0
Discussion	13	15	12	2021	1	5	77	0
Discussion	13	16	10	2021	1	24	70	0
Discussion	13	18	4	2022	1	25	77	0
Discussion	13	19	2	2023	1	107	84	0
Discussion	13	20	9	2023	1	50	154	0
Discussion	13	23	5	2022	1	69	88	0
Discussion	13	24	10	2022	1	77	103	0
Discussion	13	24	12	2021	1	51	97	0
Discussion	13	25	1	2024	1	128	242	0
Discussion	13	26	1	2023	1	99	263	0
Discussion	13	28	2	2024	1	132	78	0
Discussion	13	29	1	2024	1	39	74	0
Discussion	13	29	10	2023	1	88	109	0
Discussion	13	30	4	2023	1	24	72	0
Discussion	14	2	10	2023	1	108	72	0
Discussion	14	7	6	2022	1	48	83	0
Discussion	14	8	3	2022	1	30	68	0
Discussion	14	9	3	2023	1	92	127	0
Discussion	14	12	2	2023	1	41	101	0
Discussion	14	12	5	2023	1	90	165	0
Discussion	14	12	12	2023	1	100	86	0
Discussion	14	13	1	2023	1	47	98	0
Discussion	14	14	6	2022	1	44	84	0
Discussion	14	14	7	2022	1	38	120	0
Discussion	14	14	12	2023	1	153	77	0
Discussion	14	16	10	2021	1	63	75	0
Discussion	14	17	12	2022	1	63	84	0
Discussion	14	18	10	2023	1	186	101	0
Discussion	14	19	1	2023	1	104	68	0
Discussion	14	19	11	2023	1	27	71	0
Discussion	14	19	12	2022	1	30	84	0
Discussion	14	21	10	2023	1	77	67	0
Discussion	14	22	2	2022	1	60	63	0
Discussion	14	22	2	2023	1	65	89	0
Discussion	14	22	8	2023	1	137	154	0
Discussion	14	24	5	2022	1	67	121	0
Discussion	14	25	7	2022	1	59	94	0
Discussion	14	26	11	2023	1	37	66	0
Discussion	14	27	8	2023	1	120	142	0
Discussion	14	30	5	2023	1	59	109	0
Discussion	14	31	3	2022	1	14	75	0
Discussion	15	1	6	2023	1	111	130	0
Discussion	15	3	8	2023	1	120	120	0
Discussion	15	4	2	2023	1	220	104	0
Discussion	15	4	3	2022	1	19	68	0
Discussion	15	5	1	2023	1	58	215	0
Discussion	15	5	11	2023	1	91	90	0
Discussion	15	6	1	2022	1	27	69	0
Discussion	15	9	5	2021	1	31	73	0
Discussion	15	9	8	2023	1	117	90	0
Discussion	15	11	3	2023	1	35	81	0
Discussion	15	11	8	2023	1	73	114	0
Discussion	15	14	2	2024	1	120	176	0
Discussion	15	17	4	2022	1	58	110	0
Discussion	15	17	9	2022	1	53	110	0
Discussion	15	18	12	2021	1	40	92	0
Discussion	15	21	7	2023	1	96	75	0
Discussion	15	24	6	2023	1	129	83	0
Discussion	15	25	10	2021	1	26	160	0
Discussion	15	26	9	2021	1	40	74	0
Discussion	15	26	11	2023	1	224	102	0
Discussion	15	27	2	2024	1	129	405	0
Discussion	15	27	4	2023	1	68	247	0
Discussion	15	30	8	2023	1	124	174	0
Discussion	15	30	10	2022	1	71	100	0
Discussion	16	2	2	2022	1	59	160	0
Discussion	16	2	2	2023	1	106	123	0
Discussion	16	3	5	2023	1	22	87	0
Discussion	16	3	9	2022	1	126	74	0
Discussion	16	4	3	2023	1	73	95	0
Discussion	16	5	11	2022	1	77	127	0
Discussion	16	7	6	2022	1	11	72	0
Discussion	16	7	12	2022	1	78	67	0
Discussion	16	11	10	2023	1	104	72	0
Discussion	16	11	12	2022	1	26	90	0
Discussion	16	12	2	2024	1	23	74	0
Discussion	16	15	8	2023	1	83	77	0
Discussion	16	15	11	2023	1	118	227	0
Discussion	16	16	9	2022	1	22	69	0
Discussion	16	16	11	2023	1	107	75	0
Discussion	16	17	9	2023	1	47	109	0
Discussion	16	20	1	2024	1	179	351	0
Discussion	16	20	5	2021	1	91	325	0
Discussion	16	21	11	2023	1	66	92	0
Discussion	16	22	12	2022	1	90	80	0
Discussion	16	23	5	2023	1	135	140	0
Discussion	16	23	6	2022	1	49	178	0
Discussion	16	23	10	2022	1	37	79	0
Discussion	16	24	6	2021	1	65	68	0
Discussion	16	24	10	2023	1	45	86	0
Discussion	16	25	9	2023	1	24	113	0
Discussion	16	26	8	2021	1	42	84	0
Discussion	16	27	8	2023	1	47	78	0
Discussion	16	28	5	2022	1	47	128	0
Discussion	16	28	11	2023	1	134	80	0
Discussion	16	31	5	2023	1	220	233	0
Discussion	17	1	2	2024	1	141	379	0
Discussion	17	2	8	2023	1	59	86	0
Discussion	17	5	5	2023	1	39	94	0
Discussion	17	5	9	2022	1	21	90	0
Discussion	17	10	8	2022	1	18	174	0
Discussion	17	12	1	2024	1	70	97	0
Discussion	17	13	4	2022	1	65	177	0
Discussion	17	13	12	2023	1	81	177	0
Discussion	17	14	2	2024	1	43	67	0
Discussion	17	15	11	2022	1	97	139	0
Discussion	17	16	2	2022	1	76	116	0
Discussion	17	16	10	2022	1	86	109	0
Discussion	17	23	5	2023	1	64	107	0
Discussion	17	24	6	2023	1	77	100	0
Discussion	17	24	7	2021	1	35	108	0
Discussion	17	26	5	2022	1	58	281	0
Discussion	17	27	7	2023	1	82	122	0
Discussion	17	28	5	2023	1	76	90	0
Discussion	17	28	6	2023	1	79	106	0
Discussion	17	29	1	2022	1	14	73	0
Discussion	17	29	4	2023	1	34	85	0
Discussion	17	29	9	2023	1	188	253	0
Discussion	18	1	3	2024	1	24	76	0
Discussion	18	2	1	2023	1	94	77	0
Discussion	18	2	9	2022	1	9	77	0
Discussion	18	2	12	2021	1	111	72	0
Discussion	18	4	12	2022	1	43	70	0
Discussion	18	5	2	2024	1	35	117	0
Discussion	18	5	4	2023	1	97	89	0
Discussion	18	7	8	2022	1	37	99	0
Discussion	18	11	6	2021	1	16	76	0
Discussion	18	11	11	2023	1	71	75	0
Discussion	18	12	10	2022	1	207	385	0
Discussion	18	12	11	2023	1	46	69	0
Discussion	18	14	10	2022	1	9	84	0
Discussion	18	16	2	2023	1	48	98	0
Discussion	18	17	2	2022	1	26	110	0
Discussion	18	17	5	2023	1	81	86	0
Discussion	18	17	6	2022	1	103	140	0
Discussion	18	19	7	2022	1	62	89	0
Discussion	18	20	7	2023	1	107	72	0
Discussion	18	22	1	2023	1	77	92	0
Discussion	18	22	2	2024	1	74	124	0
Discussion	18	25	7	2023	1	77	66	0
Discussion	18	29	5	2021	1	57	230	0
Discussion	18	31	7	2022	1	139	150	0
Discussion	18	31	8	2021	1	96	68	0
Discussion	19	1	3	2024	1	43	84	0
Discussion	19	3	1	2022	1	47	133	0
Discussion	19	3	5	2022	1	31	71	0
Discussion	19	3	6	2023	1	46	185	0
Discussion	19	5	3	2022	1	40	81	0
Discussion	19	8	8	2022	1	40	144	0
Discussion	19	10	2	2024	1	110	138	0
Discussion	19	10	12	2021	1	45	187	0
Discussion	19	12	11	2022	1	47	74	0
Discussion	19	14	6	2023	1	39	99	0
Discussion	19	15	6	2023	1	152	247	0
Discussion	19	20	10	2022	1	56	71	0
Discussion	19	21	9	2023	1	30	68	0
Discussion	19	21	12	2021	1	77	120	0
Discussion	19	24	2	2022	1	55	125	0
Discussion	19	24	6	2022	1	110	195	0
Discussion	19	25	12	2021	1	34	91	0
Discussion	19	27	4	2022	1	463	583	0
Discussion	19	27	5	2023	1	67	83	0
Discussion	19	30	9	2021	1	137	77	0
Discussion	19	30	11	2022	1	72	85	0
Discussion	19	31	1	2022	1	11	125	0
Discussion	20	1	3	2023	1	108	70	0
Discussion	20	1	3	2024	1	106	200	0
Discussion	20	1	11	2023	1	124	108	0
Discussion	20	2	6	2021	1	34	118	0
Discussion	20	4	6	2022	1	67	105	0
Discussion	20	5	10	2023	1	66	81	0
Discussion	20	5	12	2022	1	51	371	0
Discussion	20	7	2	2023	1	15	101	0
Discussion	20	8	12	2023	1	96	101	0
Discussion	20	11	1	2023	1	69	492	0
Discussion	20	14	10	2023	1	45	67	0
Discussion	20	15	3	2023	1	108	92	0
Discussion	20	15	7	2023	1	90	131	0
Discussion	20	16	8	2022	1	12	171	0
Discussion	20	18	5	2023	1	151	287	0
Discussion	20	21	4	2022	1	87	76	0
Discussion	20	22	4	2022	1	101	213	0
Discussion	20	25	5	2023	1	67	147	0
Discussion	20	25	10	2023	1	183	115	0
Discussion	20	29	5	2023	1	41	82	0
Discussion	20	29	11	2023	1	83	86	0
Discussion	20	30	8	2023	1	115	68	0
Discussion	20	30	9	2022	1	12	206	0
Discussion	21	1	2	2022	1	22	139	0
Discussion	21	2	7	2021	1	49	88	0
Discussion	21	3	2	2023	1	65	85	0
Discussion	21	3	12	2021	1	55	87	0
Discussion	21	6	6	2022	1	50	87	0
Discussion	21	6	8	2022	1	76	398	0
Discussion	21	7	1	2024	1	116	140	0
Discussion	21	7	2	2024	1	48	108	0
Discussion	21	8	7	2023	1	82	91	0
Discussion	21	9	11	2021	1	64	80	0
Discussion	21	11	1	2024	1	60	77	0
Discussion	21	13	12	2022	1	82	87	0
Discussion	21	16	4	2022	1	42	73	0
Discussion	21	16	6	2021	1	14	124	0
Discussion	21	17	11	2022	1	39	105	0
Discussion	21	19	11	2022	1	23	91	0
Discussion	21	23	11	2022	1	8	95	0
Discussion	21	28	1	2024	1	65	112	0
Discussion	21	29	9	2023	1	38	69	0
Discussion	22	2	1	2024	1	29	89	0
Discussion	22	3	1	2022	1	91	105	0
Discussion	22	3	8	2023	1	32	92	0
Discussion	22	3	11	2021	1	56	100	0
Discussion	22	6	10	2023	1	86	66	0
Discussion	22	7	8	2023	1	88	83	0
Discussion	22	9	1	2023	1	41	127	0
Discussion	22	9	11	2023	1	130	87	0
Discussion	22	15	5	2022	1	23	67	0
Discussion	22	15	10	2021	1	23	110	0
Discussion	22	16	12	2021	1	114	88	0
Discussion	22	18	5	2022	1	81	89	0
Discussion	22	19	7	2023	1	155	226	0
Discussion	22	21	10	2022	1	98	86	0
Discussion	22	25	11	2021	1	35	130	0
Discussion	22	28	9	2023	1	265	195	0
Discussion	22	30	5	2022	1	39	68	0
Discussion	23	1	5	2023	1	104	111	0
Discussion	23	2	9	2021	1	35	81	0
Discussion	23	4	1	2023	1	27	100	0
